project_id,project_name,project_type,region,site,capacity,total_cost_usd,civil_cost,mechanical_cost,electrical_cost,automation_cost,contingency_pct,execution_year,country
P-2024-106,Processing System Project 106,Processing System,Europe,Le Havre Plant,387,105914619.0,12909646.12,41033970.3,21078024.46,12535029.49,0.135,2024,Italy
P-2024-107,Processing System Project 107,Processing System,North America,Iowa Plant,778,23197750.2,3066864.87,10293722.01,3438655.58,2428169.04,0.116,2024,Canada
P-2024-108,Processing System Project 108,Processing System,North America,Warsaw Plant,773,79142702.67,10446195.95,33925331.04,13615290.67,5819058.46,0.153,2024,Canada
P-2024-109,Processing System Project 109,Processing System,Europe,Iowa Plant,514,108317861.85,17774126.35,54689598.24,18371409.95,6267890.15,0.061,2024,Italy
P-2024-110,Filling Line Project 110,Filling Line,Europe,Ohio Plant,460,69461618.22,10846152.27,28150707.43,11993143.79,7036918.38,0.131,2024,Germany
P-2024-111,Processing System Project 111,Processing System,North America,Iowa Plant,811,22616141.81,3592068.18,9706582.73,3789307.93,2351788.8,0.105,2024,Mexico
P-2024-112,Processing System Project 112,Processing System,North America,Le Havre Plant,290,39085675.17,6211255.23,15098653.21,6905938.03,2279626.98,0.181,2024,Canada
P-2024-113,Filling Line Project 113,Filling Line,Europe,Iowa Plant,122,112533376.28,12318709.98,51233817.74,19120127.05,11193003.6,0.109,2024,France
P-2024-114,Packaging Line Project 114,Packaging Line,North America,Ontario Plant,599,92328284.49,13496084.31,46015709.18,17124476.46,7298534.13,0.05,2024,Canada
P-2024-115,Processing System Project 115,Processing System,North America,Le Havre Plant,330,39218519.06,5332310.57,15596124.04,8365127.19,2332091.15,0.176,2024,Canada
P-2024-116,Packaging Line Project 116,Packaging Line,North America,Ontario Plant,701,102881096.94,17728953.91,48331406.59,17893441.2,8272960.11,0.05,2024,United States
P-2024-117,Processing System Project 117,Processing System,North America,Iowa Plant,746,20949487.13,3114624.3,8991517.78,3419455.28,2063656.43,0.112,2024,United States
P-2024-118,Packaging Line Project 118,Packaging Line,Europe,Iowa Plant,897,15580087.48,2296312.92,6521868.1,3572093.29,1069753.56,0.073,2024,Germany
P-2024-119,Filling Line Project 119,Filling Line,Europe,Ohio Plant,700,80601983.0,14187135.57,33438562.62,13610494.5,8181815.06,0.102,2024,United Kingdom
P-2025-120,Processing System Project 120,Processing System,North America,Le Havre Plant,416,47690835.9,7911556.34,18144702.13,8987830.93,3047507.97,0.172,2025,Canada
P-2025-121,Processing System Project 121,Processing System,Europe,Warsaw Plant,735,100621332.06,12738528.21,47290980.93,14938062.29,7504242.21,0.158,2025,Italy
P-2025-122,Packaging Line Project 122,Packaging Line,Europe,Ohio Plant,264,49225129.28,6904638.1,20940907.4,8870964.53,5030385.08,0.079,2025,Italy
P-2025-123,Filling Line Project 123,Filling Line,Europe,Le Havre Plant,903,57399698.79,6708288.0,24824261.37,6820005.66,5930996.37,0.178,2025,France
P-2025-124,Filling Line Project 124,Filling Line,Europe,Le Havre Plant,808,44373130.53,5078510.08,20313271.53,6628709.18,4494960.08,0.165,2025,Poland
P-2025-125,Processing System Project 125,Processing System,North America,Warsaw Plant,325,109960164.85,15923828.77,46737385.39,15687098.86,9505442.55,0.191,2025,Canada
P-2025-126,Packaging Line Project 126,Packaging Line,North America,Iowa Plant,1120,17392374.27,2701540.3,7231312.16,3954533.07,1067610.15,0.071,2025,United States
P-2025-127,Filling Line Project 127,Filling Line,Europe,Iowa Plant,115,96961957.42,10040467.68,43768794.61,16675685.5,9732223.12,0.122,2025,Italy
P-2025-128,Packaging Line Project 128,Packaging Line,North America,Iowa Plant,920,134647640.48,16193903.67,60344488.08,18527783.87,13872234.49,0.132,2025,Canada
P-2025-129,Filling Line Project 129,Filling Line,North America,Ohio Plant,1009,58184817.48,6973178.26,27771257.24,7871249.77,3830808.26,0.166,2025,Canada
P-2025-130,Plant Expansion Project 130,Plant Expansion,North America,Ontario Plant,704,44741378.95,4653457.96,22792738.87,8454299.5,3516707.15,0.085,2025,Canada
P-2025-131,Packaging Line Project 131,Packaging Line,North America,Iowa Plant,804,16145501.79,2784682.52,6303867.61,3645200.57,1367746.18,0.052,2025,Canada
P-2025-132,Filling Line Project 132,Filling Line,Europe,Iowa Plant,106,92895154.83,10417053.43,39150481.42,16390024.98,8792393.74,0.137,2025,United Kingdom
P-2025-133,Processing System Project 133,Processing System,Europe,Iowa Plant,655,35625455.84,5664347.8,16556495.15,6769219.26,2236356.6,0.064,2025,France
P-2025-134,Filling Line Project 134,Filling Line,Europe,Ohio Plant,641,94421837.15,14087750.59,39539074.5,13483361.87,9516520.14,0.143,2025,Italy
P-2025-135,Packaging Line Project 135,Packaging Line,North America,Modena Plant,497,24803634.61,3887165.14,10908827.31,3463330.72,2599291.91,0.139,2025,United States
P-2025-136,Processing System Project 136,Processing System,Europe,Ohio Plant,782,80566361.13,11503434.56,32647521.49,16158087.48,8629779.61,0.083,2025,Italy
P-2025-137,Processing System Project 137,Processing System,Europe,Iowa Plant,634,134107837.78,22900094.92,64761737.94,23128567.93,8121973.16,0.05,2025,United Kingdom
P-2025-138,Packaging Line Project 138,Packaging Line,North America,Ontario Plant,806,105811292.6,15031095.15,53118917.98,15374112.33,7952712.69,0.064,2025,Canada
P-2025-139,Processing System Project 139,Processing System,North America,Warsaw Plant,755,91488785.15,11157507.62,38726204.33,17488108.88,6112499.02,0.141,2025,Canada
P-2026-140,Processing System Project 140,Processing System,North America,Le Havre Plant,322,37997739.15,5311837.7,14548686.35,7557794.85,2500997.48,0.186,2026,Mexico
P-2026-141,Filling Line Project 141,Filling Line,Europe,Ohio Plant,757,61167354.39,6401568.1,29584124.42,8401977.14,4670225.66,0.163,2026,Germany
P-2026-142,Packaging Line Project 142,Packaging Line,North America,Iowa Plant,479,17551789.17,2201573.75,8369467.41,2996953.22,1335709.8,0.085,2026,United States
P-2026-143,Processing System Project 143,Processing System,North America,Le Havre Plant,230,31395086.85,3807592.02,12243049.79,6683766.69,1844751.57,0.181,2026,Canada
P-2026-144,Packaging Line Project 144,Packaging Line,North America,Manchester Plant,123,93351795.64,16968687.88,43407193.29,11376274.94,8003668.53,0.104,2026,Mexico
P-2026-145,Packaging Line Project 145,Packaging Line,North America,Manchester Plant,117,109120444.38,16208560.69,52863462.63,13307257.46,10365251.13,0.124,2026,Mexico
P-2026-146,Packaging Line Project 146,Packaging Line,Europe,Ohio Plant,253,51031582.85,6626121.89,22834871.85,9092749.5,4831651.72,0.076,2026,United Kingdom
P-2026-147,Filling Line Project 147,Filling Line,Europe,Le Havre Plant,877,66359078.73,7066127.46,29510631.55,8458476.91,6425983.18,0.18,2026,Germany
P-2026-148,Processing System Project 148,Processing System,North America,Warsaw Plant,762,95432587.79,11156118.06,43541161.6,16578618.46,7291689.15,0.158,2026,Mexico
P-2026-149,Processing System Project 149,Processing System,North America,Iowa Plant,601,20584998.33,2523624.6,10010319.01,3075775.37,1643516.48,0.119,2026,United States
P-2026-150,Processing System Project 150,Processing System,Europe,Iowa Plant,571,120508386.17,20847662.42,52836383.75,20682625.25,8910496.26,0.065,2026,Poland
P-2026-151,Processing System Project 151,Processing System,Europe,Ohio Plant,784,70908217.74,11509165.89,27653996.92,13717109.85,7867144.73,0.071,2026,Germany
P-2026-152,Packaging Line Project 152,Packaging Line,North America,Manchester Plant,118,91639007.36,17197699.85,39001165.96,12410244.49,7500997.87,0.104,2026,Mexico
P-2026-153,Packaging Line Project 153,Packaging Line,Europe,Le Havre Plant,659,10977345.28,797951.11,4773056.51,2251801.92,969035.8,0.162,2026,Germany
P-2026-154,Processing System Project 154,Processing System,North America,Warsaw Plant,719,86964716.04,10651481.92,36504163.7,14679361.61,5636968.34,0.184,2026,Canada
P-2026-155,Filling Line Project 155,Filling Line,Europe,Ohio Plant,813,72151265.84,7437314.05,36245852.4,8709724.27,5894878.67,0.154,2026,Italy
P-2026-156,Packaging Line Project 156,Packaging Line,North America,Le Havre Plant,611,57592326.49,9524080.21,21497132.67,11923862.36,6144153.07,0.123,2026,United States
P-2026-157,Packaging Line Project 157,Packaging Line,North America,Le Havre Plant,570,53152145.88,8346628.73,21396983.7,9891556.96,5642208.86,0.109,2026,Canada
P-2026-158,Filling Line Project 158,Filling Line,Europe,Iowa Plant,119,108031876.49,11615584.54,53133083.04,17121141.71,9434007.64,0.119,2026,France
P-2026-159,Processing System Project 159,Processing System,Europe,Iowa Plant,454,100720783.35,15111099.28,48779018.54,17992051.53,6158954.32,0.051,2026,Italy
P-2027-160,Packaging Line Project 160,Packaging Line,North America,Ontario Plant,739,124729941.28,20610229.44,56193121.9,21701069.99,11598593.12,0.05,2027,Mexico
P-2027-161,Filling Line Project 161,Filling Line,Europe,Le Havre Plant,734,60246135.5,7292709.03,28500008.16,6937559.31,6071329.84,0.171,2027,Italy
P-2027-162,Packaging Line Project 162,Packaging Line,Europe,Le Havre Plant,786,13653418.43,1203106.87,6619189.0,1963884.99,1114376.96,0.197,2027,France
P-2027-163,Processing System Project 163,Processing System,North America,Iowa Plant,683,23251114.89,3370676.04,10685892.83,2986297.38,2261417.79,0.105,2027,Canada
P-2027-164,Plant Expansion Project 164,Plant Expansion,North America,Ontario Plant,685,50636049.52,5969093.39,24279590.78,10887756.43,3866455.74,0.067,2027,Canada
P-2027-165,Processing System Project 165,Processing System,Europe,Iowa Plant,595,113889270.8,18977805.5,55252716.61,18424836.57,7610593.79,0.055,2027,Poland
P-2027-166,Filling Line Project 166,Filling Line,North America,Ohio Plant,514,74449521.66,11173109.17,32041411.6,9848727.56,5911155.41,0.144,2027,United States
P-2027-167,Packaging Line Project 167,Packaging Line,North America,Iowa Plant,841,125356487.98,15468163.3,61537947.05,16150233.62,14311892.09,0.109,2027,United States
P-2027-168,Packaging Line Project 168,Packaging Line,Europe,Ohio Plant,387,74110238.4,10170421.62,34149901.5,11841907.44,7025372.49,0.065,2027,Germany
P-2027-169,Packaging Line Project 169,Packaging Line,North America,Manchester Plant,121,90537395.45,14808407.12,41015026.92,10528960.14,7899308.07,0.144,2027,United States
P-2027-170,Processing System Project 170,Processing System,Europe,Manchester Plant,890,38119299.84,5306832.59,15714005.27,7893954.99,4401636.53,0.094,2027,United Kingdom
P-2027-171,Filling Line Project 171,Filling Line,Europe,Ohio Plant,644,87198457.98,12297816.0,36350556.41,13024918.25,10265605.49,0.126,2027,United Kingdom
P-2027-172,Processing System Project 172,Processing System,North America,Warsaw Plant,381,157213799.24,22653428.62,62884790.38,24027048.03,15745330.18,0.181,2027,Mexico
P-2027-173,Filling Line Project 173,Filling Line,Europe,Ontario Plant,917,31172399.74,4940155.89,15212730.02,4873238.35,2917515.76,0.05,2027,Italy
P-2027-174,Packaging Line Project 174,Packaging Line,North America,Iowa Plant,809,16676137.31,2584202.81,7064907.07,3777644.9,1077770.63,0.061,2027,Mexico
P-2027-175,Packaging Line Project 175,Packaging Line,North America,Le Havre Plant,624,61818740.7,10545529.7,24344509.88,12286603.31,6846104.0,0.088,2027,Canada
